experiment_id,experiment_name,source_worktree,source_branch,source_commit,source_path,category,status,scientific_question,main_result,used_in_thesis,covered_by_final_release,archive_target,size,notes
I1-13,Field-Time Schedule P0,/mnt/datasets-livsyn/dxl/mattergen_v1_field_schedule,experiment/field-time-schedule-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/field_time_schedule_p0,SUMMARY_ONLY,ABANDONED_BEFORE_EVALUATION,Can a field-by-time schedule outperform a global schedule?,Diagnostic failed and generation was not run.,no,no,research_archive/innovation1/field_time_schedule,3334,
I1-14,FP-PC P0,/mnt/datasets-livsyn/dxl/mattergen_v1_fppc,experiment/fp-pc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/fp_pc_p0,SUMMARY_ONLY,ABANDONED_BEFORE_EVALUATION,Can a force-proxy predictor-corrector improve sampling?,The diagnostic gate failed; outcome comparison was not estimable.,no,no,research_archive/innovation1/fp_pc,74378296,
I1-15,Multifield Self-Conditioning P0,/mnt/datasets-livsyn/dxl/mattergen_v1_self_condition,experiment/multifield-self-conditioning-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/multifield_self_conditioning_p0,SUMMARY_ONLY,FAIL,Can multi-field self-conditioning stabilize generation?,P0 failed with severe E-hull degradation.,no,no,research_archive/innovation1/multifield_self_conditioning,108517282,
I1-16,Self-Correcting Search P0,/mnt/datasets-livsyn/dxl/mattergen_v1_self_correcting_search,experiment/self-correcting-search-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/self_correcting_search_p0,SUMMARY_ONLY,ABANDONED_BEFORE_EVALUATION,Can a learned probe identify timesteps that benefit from correction?,No reliable timesteps were found and P0 was not run.,no,no,research_archive/innovation1/self_correcting_search,8957485,
I1-17,Branch-Compatible Oracle,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/reference_preserved_budgeted_cfg/offline_branchable,FULL_ARCHIVE,SUPPORTED,Does fixed-budget branching expose actionable counterfactual headroom?,Branch-compatible budgeted headroom passed.,core,yes/core,research_archive/innovation1/branch_oracle,346122,
I1-18,Reference-Preserved Budgeted Branching,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/reference_preserved_budgeted_cfg,FULL_ARCHIVE,SUPPORTED,Can branching preserve the reference while using the same budget?,Reference-preserved branching established the safe design principle used by the final method.,core,yes/core,research_archive/innovation1/reference_branching,45126278,
I1-19,Phase B Learned Allocator,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/reference_preserved_budgeted_cfg/feature_study,FULL_ARCHIVE,NOT_SUPPORTED,Does a learned allocator beat fixed branching at matched compute?,Adaptive allocation value was not supported.,core-negative,yes/core-negative,research_archive/innovation1/phase_b_allocator,41874269,
I1-20,Frozen C1 Confirmation,/mnt/datasets-livsyn/dxl/mattergen_v1_linear_k2_confirm,experiment/frozen-linear-k2-confirmation,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/frozen_linear_k2_confirmation,FULL_ARCHIVE,MIXED,"On wholly new paired seeds, do Fixed-K2 and Linear-K2 improve over C0?",Fixed-K2 was supported; learned Linear-K2 was NOT_SUPPORTED.,core,yes/core,research_archive/innovation1/frozen_confirmation,167523797,
I1-21,Final Fixed-K2 Method,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,release/thesis-final-2026,5b572c61c70c4287147616beae7f72d28955cf98,thesis_release/innovation1,SUMMARY_ONLY,SUPPORTED,Which simplest policy survives confirmatory evidence?,Fixed-K2 is the final Innovation 1 thesis method; Linear-K2 remains NOT_SUPPORTED.,core,yes/core,research_archive/innovation1/fixed_k2_final,1963507,
I2-00,Physics-Guidance Route Selection,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/innovation2_research_v2,SUMMARY_ONLY,ENGINEERING_ONLY,Which physics-guided sampling route is both novel and feasible?,The audit narrowed the route but did not itself validate a method.,supporting,no,research_archive/innovation2/route_selection,77482,
I2-01,Stage Reliability Study,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/innovation2_finalization,SUMMARY_ONLY,SUPPORTED,At which denoising stages is surrogate force feedback reliable enough to use?,Evidence supported restricting guidance to reliable late stages.,supporting,yes/summary,research_archive/innovation2/stage_reliability,1847473,
I2-02,Clean-x0 Force Evaluation,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/innovation2_finalization,SUMMARY_ONLY,SUPPORTED,Should force be evaluated on noisy x_t or the denoised crystal estimate?,"Clean-x0 was retained as a supported implementation choice, with explicit causal limitations.",supporting,yes/summary,research_archive/innovation2/clean_x0,1847473,
I2-03,Force-Coordinate Mapping,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/innovation2_finalization,SUMMARY_ONLY,SUPPORTED,How should Cartesian forces map into periodic fractional-coordinate updates?,The mapping passed engineering and directional checks.,supporting,yes/summary,research_archive/innovation2/force_coordinate_mapping,1847473,
I2-04,Early Closed-Loop Force Guidance,/mnt/datasets-livsyn/dxl/mattergen_v1_closed_loop_guidance,experiment/closed-loop-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/closed_loop_force_guidance_p0,FULL_ARCHIVE,FAIL,Does a closed-loop force controller improve generation quality?,F1 provided no gain over F0 and the route failed.,supporting,no,research_archive/innovation2/early_force_guidance,1123507,
I2-05,RC-NFGD P0,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_late_force_guidance_p0,FULL_ARCHIVE,SUPPORTED,Can reliable late-stage force guidance improve initial physical plausibility without harming quality?,P0 passed and justified Formal32.,core,yes/core,research_archive/innovation2/p0,1705863,
I2-06,RC-NFGD Formal32,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_late_force_guidance_formal32,FULL_ARCHIVE,SUPPORTED,Does the P0 effect reproduce on new paired seeds?,The signal reproduced and advanced to Formal256.,core,yes/core,research_archive/innovation2/formal32,1773211,
I2-07,RC-NFGD Formal256,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_late_force_guidance_formal256,FULL_ARCHIVE,SUPPORTED,Does frozen RC-NFGD provide reproducible matched-seed benefit at formal scale?,RC-NFGD was supported by the Formal256 evidence.,core,yes/core,research_archive/innovation2/formal256,10930964,
I2-08,Independent CHGNet Validation,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/final_independent_mlip_validation,FULL_ARCHIVE,SUPPORTED,Does the force benefit generalize beyond the guiding MatterSim evaluator?,"Cross-MLIP generalization was supported, within the stated independence limits.",core,yes/core,research_archive/innovation2/chgnet_validation,188272,
I2-09,Force-Direction Ablation,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_force_direction_ablation,FULL_ARCHIVE,SUPPORTED,Is the physical force direction responsible for benefit rather than matched noise?,Force-direction effect was supported for the registered comparisons.,core,yes/core,research_archive/innovation2/direction_ablation,4917320,
I2-10,Trust-Region Ablation,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_trust_region_ablation,FULL_ARCHIVE,NOT_SUPPORTED,Is the explicit trust region the core source of RC-NFGD benefit?,The trust-region mechanism was not supported as the core explanation.,supporting,yes/key-negative,research_archive/innovation2/trust_region_ablation,2322505,
I2-11,Equal-Budget Post-Generation Comparison,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattersim_equal_budget_post_generation,FULL_ARCHIVE,SUPPORTED,Does during-sampling guidance retain value against equal-budget post-processing?,The registered comparison supported retaining the RC-NFGD interpretation.,core,yes/core,research_archive/innovation2/equal_budget_post,2060433,
I2-12,Adaptive-CFG Compatibility,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/adaptive_cfg_force_guidance_compatibility,FULL_ARCHIVE,FAIL,Can Adaptive CFG and F0 retain both benefits when combined?,Compatibility failed the frozen retention requirement.,supporting,yes/key-negative,research_archive/innovation2/compatibility,71475876,
I2-13,Bounded-Correction Ablation,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/final_bounded_correction_audit,FULL_ARCHIVE,NOT_SUPPORTED,Is norm bounding the necessary mechanism behind the force-guidance benefit?,Bounding was not supported as the core mechanism.,supporting,yes/key-negative,research_archive/innovation2/bounded_correction,56533,
I2-14,E3G Baseline Audit,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/final_e3g_baseline_audit,SUMMARY_ONLY,INCONCLUSIVE,Does an alternative post-generation refiner change the RC-NFGD comparison?,Evidence was useful context but did not replace the frozen primary comparison.,supporting,yes/summary,research_archive/innovation2/e3g_baseline_audit,180894,
I2-15,DFT Environment Verification,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/dft_verification,SUMMARY_ONLY,ABANDONED_BEFORE_EVALUATION,Can the final claims be verified with DFT in the current environment?,DFT verification was not run because the required environment was unavailable.,core-limit,yes/core-limit,research_archive/innovation2/dft_verification,4451,
I2-16,Final RC-NFGD Interpretation,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,release/thesis-final-2026,5b572c61c70c4287147616beae7f72d28955cf98,thesis_release/innovation2,SUMMARY_ONLY,SUPPORTED,What claim survives all confirmations and ablations?,Innovation 2 is SUPPORTED; DFT_VERIFIED remains false.,core,yes/core,research_archive/innovation2/final_rc_nfgd,1380193,
O-01,Corrector Residual Distillation V1,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/corrector-residual-distillation-v1,d2736e01bf7ef9f1072e2760622c603403516403,experiments/corrector_residual_distillation_v1,SUMMARY_ONLY,MIXED,Can learned residual reuse reduce corrector calls?,A promising small candidate appeared but was not a formal success.,no,no,research_archive/other_explorations/corrector_distillation/v1,333726,
O-02,Corrector Residual Distillation V2,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/corrector-residual-distillation-v2,1b8b62284f694b08d778895da345c708204ec2db,experiments/corrector_residual_distillation_v2,SUMMARY_ONLY,NOT_SUPPORTED,Does a refined adapter preserve quality while saving forwards?,The speed-quality hypothesis was not supported.,no,no,research_archive/other_explorations/corrector_distillation/v2,704757,
O-03,Corrector Residual Distillation V3 Anchor,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/corrector-residual-distillation-v3-anchor,f983e1285de0913d5bb2c2cdef4b5488057f58ad,experiments/corrector_residual_distillation_v3_anchor,SUMMARY_ONLY,FAIL,Can anchoring repair residual reuse tails?,The registered Stage-C criteria failed.,no,no,research_archive/other_explorations/corrector_distillation/v3_anchor,465335,
O-04,Corrector Distillation Formal256,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/corrector-residual-distillation-formal256,0a1a8e2631ec2be8d1bdc092948c2cd2e905be2f,experiments/corrector_residual_distillation_formal256,SUMMARY_ONLY,INCONCLUSIVE,Is the corrector method non-inferior on formal quality and force tails?,Neither PASS nor FAIL was established because force-tail intervals were too wide.,no,no,research_archive/other_explorations/corrector_distillation/formal256,734564,
O-05,Cross-Field Interaction P0,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/cross-field-interaction-p0,7bc228247c255e69ee24fe19e261c37a60ad09bb,experiments/cross_field_interaction_p0,SUMMARY_ONLY,INCONCLUSIVE,Do cross-field interactions beat a matched MLP?,A cautious GO signal appeared with a relaxation-tail outlier.,no,no,research_archive/other_explorations/cross_field_interaction/p0,67669,
O-06,Cross-Field Interaction P1,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/cross-field-interaction-p1,70a85b70b2b06f63a7965a07d1520331f3e3e215,experiments/cross_field_interaction_p1,SUMMARY_ONLY,FAIL,Does the CFI P0 benefit reproduce?,Core signal did not reproduce and novelty degraded.,no,no,research_archive/other_explorations/cross_field_interaction/p1,55422,
O-07,Distribution-Constrained Quality Adapter P0,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/distribution-constrained-quality-adapter-p0,399488be33527db48bb9597ca7c2c4d7f38106f5,experiments/distribution_constrained_quality_adapter_p0,SUMMARY_ONLY,INCONCLUSIVE,Can quality weighting improve conditioned generation?,Positive exploratory signal justified P1.,no,no,research_archive/other_explorations/distribution_adapter/p0,123800,
O-08,Distribution-Constrained Quality Adapter P1,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/distribution-constrained-quality-adapter-p1,180acb6005fab026999d8ba6bdcdffca26d0a3af,experiments/distribution_constrained_quality_adapter_p1,SUMMARY_ONLY,MIXED,Does M2 preserve quality gain without distribution contraction?,Quality/force signals coexisted with novelty/composition trade-offs; BORDERLINE historically.,no,no,research_archive/other_explorations/distribution_adapter/p1,156806,
O-09,Distribution Adapter P1b,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/distribution-constrained-quality-adapter-p1b,71f4619f9c555dc2aef2e656fde2dcacb589b573,experiments/distribution_constrained_quality_adapter_p1b,SUMMARY_ONLY,FAIL,Can lower weight contrast restore distribution coverage?,Neither candidate achieved the registered Pareto criterion.,no,no,research_archive/other_explorations/distribution_adapter/p1b,94919,
O-10,Distribution-Balanced Quality Adapter,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/distribution-balanced-quality-adapter,d8f8014404df6280523cf527533da79c10c14ead,experiments/distribution_balanced_quality_adapter,SUMMARY_ONLY,FAIL,Can explicit distribution balancing recover the adapter trade-off?,The GO rule failed and no 32-seed confirmation was run.,no,no,research_archive/other_explorations/distribution_adapter/balanced,100508,
O-11,Global Transformer Adapter P0,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/global-transformer-adapter-p0,499dba7df79de8e82539243d4273ee3b66ba81dd,experiments/global_transformer_adapter_p0,SUMMARY_ONLY,FAIL,Can global interactions improve on generic PEFT?,Geometry/relaxation regression triggered FAIL.,no,no,research_archive/other_explorations/global_transformer,66305,
O-12,TCL and DML P0,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/tcl-dml-p0,2f95aa0c361cc539f13a9184ddb94f2a04d2efa0,experiments/tcl_dml_p0,SUMMARY_ONLY,MIXED,Which training intervention merits validation?,TCL received GO; DML failed.,no,no,research_archive/other_explorations/tcl/dml_p0,88198,
O-13,TCL P1,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/tcl-p1,56efbaaf7f005b058887b69088913ccbf4d3cde5,experiments/tcl_p1,SUMMARY_ONLY,SUPPORTED,Does TCL repair FT0 degradation?,P1 achieved CLEAR GO under its historical criteria.,no,no,research_archive/other_explorations/tcl/p1,62374,
O-14,TCL P2,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/tcl-p2,b9fd99019657df7c605976255ef07d774b61f4f9,experiments/tcl_p2,SUMMARY_ONLY,SUPPORTED,Does TCL reproduce at n=64?,Historical CLEAR GO versus FT0 reproduced.,no,no,research_archive/other_explorations/tcl/p2,74352,
O-15,TCL Formal256,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/tcl-formal256,6ed463cfcba4f8a4864b7c603ec40dcd075f5e72,experiments/tcl_formal256,SUMMARY_ONLY,FAIL,Does TCL beat FT0 while remaining safe relative to C0?,"TCL beat FT0, but final registered rules failed due to C0 geometry/force protection.",no,no,research_archive/other_explorations/tcl/formal256,211468,
O-16,TCL Formal Root-Cause Analysis,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,analysis/tcl-formal256-root-cause,eaf269258ae73f3d24f10b1416a0f50652b6169a,experiments/tcl_formal256_root_cause,SUMMARY_ONLY,SUPPORTED,What caused TCL's formal geometry degradation?,Late position drift and objective/field coupling were supported; sampling amplification remained only moderate/plausible.,no,no,research_archive/other_explorations/tcl/root_cause,9015004,
O-17,GBSA-TCL P0,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/gbsa-tcl-p0,5a72cfde92bec7145105b4deef38f5fa7f2da8b5,experiments/gbsa_tcl_p0,SUMMARY_ONLY,INCONCLUSIVE,Can score anchoring and partial freezing repair TCL?,Historical P0 GO justified P1 but was not confirmatory.,no,no,research_archive/other_explorations/gbsa/p0,1047498,
O-18,GBSA-TCL P1,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/gbsa-tcl-p1,b12985130a7e7dfff490118d566fefd1e2b65af2,experiments/gbsa_tcl_p1,SUMMARY_ONLY,FAIL,Does GBSA repair force robustness on new seeds?,A severe force outlier broke the force-robustness gate.,no,no,research_archive/other_explorations/gbsa/p1,1997959,
O-19,Frozen GBSA Prospective32,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,experiment/gbsa-tcl-prospective32,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/gbsa_tcl_prospective32,SUMMARY_ONLY,FAIL,Does prospective freezing change the GBSA conclusion?,NUS uncertainty and safety non-inferiority failed the rule.,no,no,research_archive/other_explorations/gbsa/prospective32,741459,
O-20,Metric Framework Reassessment,/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,release/thesis-final-2026,5b572c61c70c4287147616beae7f72d28955cf98,experiments/metric_framework_reassessment,SUMMARY_ONLY,ENGINEERING_ONLY,How should heterogeneous historical experiments be compared without relabeling them?,The reassessment organized evidence but did not change historical verdicts.,supporting,yes/summary,research_archive/other_explorations/metric_reassessment,184399,
R-01,A0-E3G Independent64,remote-only,origin/feature/a0-e3g-independent64,3bafb64a7a2cd28f850ad246b9aa2af1a2392227,git:reports/a0_e3g_independent64,SUMMARY_ONLY,SUPPORTED,Does E3G improve force on an independent64 cohort?,Historical independent64 state was GO.,no,no,research_archive/other_explorations/remote_branch_studies/a0_e3g_independent64,git-object,
R-02,A0-E3G Compatibility64,remote-only,origin/feature/a0-e3g-compatibility64,447fa7ea61bdb2347652893dc80f8a37b20a6b88,git:reports/a0_e3g_compat64,SUMMARY_ONLY,SUPPORTED,Is E3G compatible with A0?,Historical final state was GO.,no,no,research_archive/other_explorations/remote_branch_studies/a0_e3g_compatibility64,git-object,
R-03,A0-E3G Formal256 Eligibility,remote-only,origin/feature/a0-e3g-formal256,33f8a69136fb4327897357cedb27331f9c2b5930,git:reports/a0_e3g_formal256,SUMMARY_ONLY,INCONCLUSIVE,Was the available Formal256 source cohort eligible?,SOURCE_DATA_INCOMPLETE/formally ineligible because 64 seeds overlapped training.,no,no,research_archive/other_explorations/remote_branch_studies/a0_e3g_formal256,git-object,
R-04,A0-E3G Leakage Diagnostic256,remote-only,origin/experiment/a0-e3g-leakage-diagnostic256,4efe6d5a690f1774396d854ef5c385e757c3a03b,git:reports/a0_e3g_leakage256,SUMMARY_ONLY,MIXED,Did training overlap distort the E3G result?,Held-out benefits coexisted with materially different harmful-decision counts across cohorts.,no,no,research_archive/other_explorations/remote_branch_studies/a0_e3g_leakage256,git-object,
R-05,Budget-Aware Corrector Gating,remote-only,origin/feature/budget-aware-corrector-gating,7561f4e2a9b6956c4d7914ff27b2166ca26b8290,git:research/budget_aware_gating,SUMMARY_ONLY,NOT_SUPPORTED,Can budget-aware gates yield useful speed-quality trade-offs?,Both policies were historical NO_GO.,no,no,research_archive/other_explorations/remote_branch_studies/budget_aware_gating,git-object,
R-06,Convergence-Aware Corrector Gating,remote-only,origin/feature/convergence-aware-corrector-gating,9feb77f5adef7e0da1d19837719cf811aacfa3cf,git:mattergen/diffusion/sampling/corrector_gating.py,SUMMARY_ONLY,ENGINEERING_ONLY,Can convergence signals skip corrector work safely?,The implementation exists; no scientific performance verdict can be reconstructed from that branch alone.,no,no,research_archive/other_explorations/remote_branch_studies/convergence_aware_gating,git-object,
R-07,CG-TDR,remote-only,origin/feature/cg-tdr,cb67f1e08786f0423549d36244c0282a09ac9e0b,git:research/cg_tdr,SUMMARY_ONLY,NOT_SUPPORTED,Can learned time-dependent residuals repair correction?,Residual generalization was too weak for a useful effect.,no,no,research_archive/other_explorations/remote_branch_studies/cg_tdr,git-object,
R-08,CrystalREPA Reproduction,remote-only,origin/feature/crystalrepa-repro,5411a7d3bc6e85e924a3759ab4b6329521461330,git:research/crystalrepa_repro,SUMMARY_ONLY,NOT_SUPPORTED,Does a CrystalREPA-style method reproduce under this setup?,Engineering and scientific GO were both false.,no,no,research_archive/other_explorations/remote_branch_studies/crystalrepa,git-object,
